Wort,Rank,Sprachniveau_Est,Wortart,Erklärung,DWDS_Erklärung,Synonyme,Beispielsatz
lebensbedrohlich,7555,C1-C2,Adjektiv,"so, dass das Leben in Gefahr, bedroht ist; der Tod kurz bevorsteht",,"lebensbedrohend, lebensgefährlich",Bei ihrem Motorradunfall erlitt sie lebensbedrohliche Verletzungen und war kurze Zeit im Koma.
schlaflos,7556,C1-C2,Adjektiv,ohne den Zustand tiefer Ruhe,,,"Sie verbrachte die Nacht schlaflos, da doch tief innen das schlechte Gewissen an ihr nagte."
allenfalls,7557,C1-C2,Adverb,"im Extremfall, also besten- oder schlimmstenfalls",,,Der Mindestlohn-Kompromiss der Großen Koalition bringt allenfalls eine Teillösung des Niedriglohnproblems.
stelzen,7558,C1-C2,Verb,auf Stelzen gehen,,"staken, staksen",Der Clown stelzte aus der Manege.
kentern,7559,C1-C2,Verb,sich zur Seite neigen und auf der einen Seite oder kieloben liegen bleiben,,,"„Das Boot ist gekentert, sie ist ertrunken.“"
lädiert,7560,C1-C2,Adjektiv,"beschädigt, verletzt, angeschlagen",,,Deine lädierten Kognacschwenker aus den 1970er Jahren kannst du behalten.
waghalsig,7561,C1-C2,Adjektiv,"ein großes Risiko auf sich nehmend; verwegen, mutig",,"draufgängerisch, wagemutig, verwegen, tollkühn, mutig","Er macht immer waghalsige Sachen, wie ohne Helm Motorrad zu fahren."
gebrechlich,7562,C1-C2,Adjektiv,körperlich beeinträchtigt,,,"„Zum Glück ist da die sanfte, gebrechliche Urgroßmutter, die ihr von der Sklaverei erzählt und von den sechzehn Kindern, die sie von ihrem weißen Herrn bekommen hat.“"
sexsüchtig,7563,C1-C2,Adjektiv,süchtig nach Sex,,,„Alle mächtigen Herrscher der Geschichte waren durch die Bank sexsüchtig.“
abklatschen,7564,C1-C2,Verb,jemandem den Tanzpartner abwerben,,,Er fasste sich ein Herz und klatschte die hübsche Dame ab.
kampieren,7565,C1-C2,Verb,in einem Lager draußen übernachten oder auf einem Zelt- beziehungsweise Campingplatz seine Zeit verbringen,,,"„Zu denken ist hier z.B. an das Kampieren auf symbolträchtigen Plätzen, wie das Kampieren der Opposition (»8. März«) auf dem Märtyrerplatz in Beirut, also auf einem Platz, der eigentlich nicht zur Übernachtung vorgesehen ist.“"
vonstatten,7566,C1-C2,Adverb,"von der Stelle, voran",,,
ersäufen,7567,C1-C2,Verb,"töten, indem die Atmung dadurch verhindert wird, dass die Atmungsorgane unter Wasser gehalten werden",,ertränken,"Du wirst doch nicht etwas vorhaben, die Kätzchen zu ersäufen?"
überschwänglich,7568,C1-C2,Adjektiv,von großen Gefühlsausbrüchen begleitet,,,"Der Gammler, sichtlich angetrunken, bedankte sich überschwänglich für das bescheidene Mahl und küsste der Bedienerin mehrmals die Hände."
unterschieben,7569,C1-C2,Verb,jemandem ohne dessen Wissen und in betrügerischer Absicht einen Gegenstand zuführen,,"in die Schuhe schieben, unterjubeln","Um seinen unliebsamen Konkurrenten loszuwerden, schob ihm der Mafioso Kokain unter und meldete ihn der Polizei."
schmälern,7570,C1-C2,Verb,geringer oder weniger machen,,,"Die vielen Fehltritte, die sich der Berater leistete, werden seinen Verdienst nicht schmälern."
toxisch,7571,C1-C2,Adjektiv,"stark gesundheitsschädlich, giftig",,venenös,Viele Pilzarten wirken auf den Menschen toxisch.
umnieten,7572,C1-C2,Verb,durch Verletzen oder Töten mit einer Schusswaffe zu Boden bringen,,"über den Haufen fahren, niederschlagen, ummähen, umschlagen, niederknallen","„Willy mochte Revolvermunition nicht besonders, aber er kannte ihre Wirkung gut. »Damit kannst du ja auf hundert Meter einen Büffel umnieten«, sagte er mit einem prüfenden Blick.“"
kultivieren,7573,C1-C2,Verb,Land urbar machen,,,In Mitteleuropa wird das Land seit dem 13. Jahrhundert zunehmend kultiviert.
durchtrieben,7574,C1-C2,Adjektiv,"gerissen, gewieft",,"gewieft, hinterlistig, clever, verschlagen, ausgekocht",Eine durchtriebene Person verschafft sich durch unmoralische oder unethische Methoden einen ihr nicht zustehenden Vorteil.
wegschießen,7575,C1-C2,Verb,mit einer Schusswaffe töten,,,Die neuen Pächter wollen am liebsten alle Kaninchen wegschießen.
widern,7576,C1-C2,Verb,es/etwas erregt bei jemandem Ekel,,"anekeln, ankotzen, degoutieren, abstoßen, anwidern",Es widerte uns allen vor dem fetten Essen.
dunkelhaarig,7577,C1-C2,Adjektiv,eine dunkle Haarfarbe habend,,,„Blonde Schweden ehelichten in Mittelalter und Neuzeit eher andere blonde Schweden als dunkelhaarige Italiener.“
unbewohnbar,7578,C1-C2,Adjektiv,nicht zum Bewohnen geeignet,,,Das unbewohnbare Haus soll abgerissen werden.
duster,7579,C1-C2,Adjektiv,dunkel,,"schummrig, bedrückend, unfreundlich, dunkel","Im Keller ist es duster,"
schmachten,7580,C1-C2,Verb,eine irgendwie geartete Entbehrung erleiden,,"verlangen, begehren, darben","„Kinder von 1 bis 7 Jahren überstehen die See-Reise selten, und müssen die Eltern ihre Kinder manchmal durch Mangel, Hunger, Durst und dergleichen Zufälle elendiglich schmachten, sterben und ins Wasser geworfen sehen.“"
überblicken,7581,C1-C2,Verb,ein bestimmtes Objekt insgesamt einsehen können,,,Von dem hohen Berg kann man den ganzen Landkreis überblicken.
dubios,7582,C1-C2,Adjektiv,"fragwürdig, unter anderem Verdacht auf Illegalität",,"suspekt, zwielichtig, zweifelhaft, fragwürdig",Gestern habe ich schon wieder so eine dubiose Postkarte ohne Absender bekommen.
brodeln,7583,C1-C2,Verb,unter Hitze blubbern,,"gären, klüngeln, bummeln, köcheln, trödeln",Die Lava brodelte im Krater des Vulkans.
ungefragt,7584,C1-C2,Adjektiv,"nicht gefragt worden, ohne Aufforderung",,,"„Vielleicht war es meine Gleichgültigkeit, aber Minuten später schickte er mir ungefragt ein weiteres Foto, diesmal von der Leiche einer Aktivistin, das er vor Jahren aufgenommen hatte.“"
zurücklaufen,7585,C1-C2,Verb,zu Fuß an den Ausgangspunkt zurückkehren,,,"Ich habe keine Lust, den ganzen Weg zurückzulaufen. Gibts hier keinen Bus?"
ungenügend,7586,C1-C2,Adjektiv,"in Deutschland, keine Steigerung: schlechteste Schulnote; eine Sechs",,"unzureichend, Sechs",Meine Arbeit wurde mit ungenügend bewertet.
abbinden,7587,C1-C2,Verb,etwas von einem anderen Gegenstand lösen,,"ablegen, entfernen, ausziehen, aushärten, verhärten",Das Tier kann jetzt abgebunden werden.
vernebeln,7588,C1-C2,Verb,"unsichtbar machen, die Sicht behindern, mit Schwaden  füllen",,,Der Holzkohlegrill vernebelt die ganze Nachbarschaft.
siezen,7589,C1-C2,Verb,eine Person oder eine Gruppe mit der Höflichkeitsform Sie anreden,,,"Obwohl er schon vor langer Zeit das „Du“ angeboten bekam, konnte er es sich nicht abgewöhnen, seinen Chef zu siezen."
idyllisch,7590,C1-C2,Adjektiv,Eigenschaften eines Idylls aufweisend,,,„Es ist ein idyllischer Ort.“
schrillen,7591,C1-C2,Verb,"einen hohen, grellen und sehr lauten Ton erzeugen",,"gellen, tönen, kreischen, durchdringend","Aber da schrillte die Pfeife, und eine harte Stimme schnarrte: »Abfahren!«"
zurückfordern,7592,C1-C2,Verb,"von jemandem die Rückgabe von etwas verlangen, das einem gehört",,"zurückverlangen, wiederverlangen, wiederfordern","„Ob beispielsweise Pflegegeld anteilig zurückgefordert wird oder nicht, wenn jemand vor dem Monatsende stirbt, ist schließlich nicht der Stoff, aus dem Schlagzeilen gemacht werden.“"
entrüstet,7593,C1-C2,Adjektiv,Zustand der Aufgebrachtheit,,"wütend, empört, aufgebracht, verärgert, ungehalten",Nach der Urteilsverkündung verließen die Angehörigen des Opfers entrüstet den Gerichtssaal.
vertikal,7594,C1-C2,Adjektiv,"entlang einer gedachten Linie, die eine Schnur mit einem Senkblei verlängert",,"senkrecht, perpendikular, perpendikulär, lotrecht, bleirecht","„Im Windkanal können verschiedene Hydrometeore wie Regen- oder Wolkentropfen, Eispartikel und Schneeflocken in einem vertikalen Aufwind frei ausgeschwebt werden, ohne dass es zu einer Beeinflussung durch Wandeffekte kommt.“"
handwerklich,7595,C1-C2,Adjektiv,das Handwerk betreffend,,,Mein Bruder ist handwerklich sehr begabt.
strampeln,7596,C1-C2,Verb,"mit den Beinen  zappeln, mit den Füßen abwechselnd in die Luft treten",,treten,"So, wie der Kleine strampelt, muss ich ihn ständig neu zudecken."
widerstandsfähig,7597,C1-C2,Adjektiv,äußeren Einflüssen standhaltend,,,"„Hafer und Gerste ließen sich als widerstandsfähige Sorten überall anbauen, während Weizen und Spelt im wärmeren Süden und Westen besser gediehen als im Norden und Osten, wo der Roggenanbau dominierte.“"
partout,7598,C1-C2,Adverb,"um jeden Preis, auf jeden Fall",,"um jeden Preis, unbedingt, absolut",Er will partout nicht mitkommen.
unkooperativ,7599,C1-C2,Adjektiv,"nicht kooperativ, eine Kooperation ablehnend",,,"„Hoffman gab sich unkooperativ und forderte die Polizei geradezu auf, ihn doch als Mitverschwörer zu verhaften, sofern sie irgendwelche Beweise hätten.“"
fransen,7600,C1-C2,Verb,sich an einer Stoffkante in seine Fäden  auflösen,,,Der Jeansstoff franst am Saum.
nachwachsen,7601,C1-C2,Verb,"wieder entstehen , wenn etwas verletzt, entfernt oder gekürzt wurde",,,"Unglaublich, wie schnell das Gras nach dem Mähen wieder nachwächst!"
durchgebraten,7602,C1-C2,Adjektiv,"so gebraten, dass das Fleisch nicht mehr rosa ist",,,„Al Capone mochte sein Steak durchgebraten.“
lustvoll,7603,C1-C2,Adjektiv,"voller Lust, Freude oder Genuss; mit besonders angenehmen Gefühlen, Empfindungen verbunden",,,"„Mit zunehmender Freude lernte sie, lustvoll zu konkurrieren und sich in die politischen Spiele der universitären Forschung einzulassen.“"
mitschuld,7604,C1-C2,Adjektiv,eine Mitschuld tragend,,mitschuldig,"„Im übrigen ist Bonn an den Versäumnissen der westlichen Jugoslawien-Politik mitschuld, weil das Nichtstun nur allzu bequem war.“"
salben,7605,C1-C2,Verb,"mit pflegender Salbe, Creme, Lotion einreiben",,,Salbst du mir bitte den Rücken mit dieser Lotion?
unausgeglichen,7606,C1-C2,Adjektiv,"im Ungleichgewicht, mit starken Schwankungen, mit einer ungleichmäßigen Verteilung",,,"„Den Diskurs hält sie zwar für legitim, dieser werde aber unsachlich und unausgeglichen geführt, da unter den geladenen Diskussionsteilnehmern die Mehrheit gegen ein Kopftuch seien.“"
nachgiebig,7607,C1-C2,Adjektiv,einen Standpunkt nicht konsequent verfolgend,,"gefügig, biegsam, weich","Mancher mag eine Entscheidung nachgiebig finden, ein anderer findet sie selbstvergessen."
zurückpfeifen,7608,C1-C2,Verb,durch einen Pfiff zur Rückkehr auffordern,,,"„»Eigentlich müsste jetzt jemand kommen und den Hund zurückpfeifen«, sagte er. Dann zog er sein Handy hervor und fotografierte den Stafford, der sich erneut kläffend gegen den Zaun stürzte.“"
waten,7609,C1-C2,Verb,"im Wasser oder auf nachgebendem Untergrund langsam gehen, wobei die Beine bei jedem Schritt nacheinander angehoben werden",,stapfen,Huett watet in Gummistiefeln durch den tiefen Matsch eines Reisfeldes.
südwärts,7610,C1-C2,Adverb,"in südliche Richtung, nach Süden hin",,"Mittag, südwärtig, nach, südlich, Süden",Unser Weg führte nur noch südwärts.
unterjubeln,7611,C1-C2,Verb,jemandem unauffällig  zuschieben,,,Die Drogen wurden ihr untergejubelt.
gutherzig,7612,C1-C2,Adjektiv,wohlwollend und freundlich gegenüber anderen Personen,,"wohlwollend, menschlich, weichherzig, gutmütig, mild","„Ich habe die Deutschen ganz anders erlebt“, sagt Priscillia. „Sie sind gutherzig, hilfsbereit und lieben abwechslungsreiches Essen, keineswegs nur Wurst und Bier.“"
farblos,7613,C1-C2,Adjektiv,ohne Farbe,,achromatisch,Das Holz wird mit farblosem Lack überzogen.
zusammennehmen,7614,C1-C2,Verb,"einzelne Teile oder Personen gemeinsam behandeln, sie sammeln und vereinen, Dinge/Aspekte bündeln",,,"Wenn ich jeweils drei Fäden zusammennehme, wird der Zopf nachher dicker."
dazugeben,7615,C1-C2,Verb,zusätzlich zu etwas Anderem austeilen,,,"100 Gramm Roastbeef, bitte. Und geben Sie noch etwas Gelee dazu."
dabehalten,7616,C1-C2,Verb,"an dem Ort lassen, wo etwas ist; bei sich behalten",,dortbehalten,Wir wollen die Hündin noch einige Tage zur Beobachtung dabehalten.
zerspringen,7617,C1-C2,Verb,in kleine Teile zerfallen,,auseinanderspringen,"„Wenn jemand sagt, die Scheibe ist zersprungen, so meint er eine ganz bestimmte Scheibe; wenn er aber sagt, eine Scheibe ist zersprungen, so lässt er es ungewiß, welche es sei.“"
afrikanisch,7618,C1-C2,Adjektiv,"sich auf Afrika, Afrikaner beziehend",,,Afrikanische Kunst hat sehr oft einen religiösen Hintergrund.
recycelt,7619,C1-C2,Adjektiv,"in der Art und Weise des Recycelns/Recyclings, dem Recyceln/dem Prozess der Wiedergewinnung/Rückgewinnung zuzuordnen",,"wiederverwendet, zurückgewonnen, rückgewonnen, wiedergewonnen",Ist das ein aus Mikrofasern recycelter Bademantel?
einbehalten,7620,C1-C2,Verb,"im Besitz einer Sache bleiben, anstatt sie ihrem Besitzer zurückzugeben",,zurückbehalten,"„Bei Fahrzeugen, die geleast oder mittels Kredit gekauft werden, wurde der Typenschein meist bei der Leasingfirma oder beim Kreditinstitut als Sicherstellung einbehalten.“"
spröde,7621,C1-C2,Adjektiv,"brüchig, leicht reißend",,"starr, unnahbar, unbiegsam, aufgesprungen, reserviert",Gusseisen ist spröde; bei einem Hammerschlag kann es zerspringen.
zubeißen,7622,C1-C2,Verb,mit den Zähnen packen und beißen,,"zusammenbeißen, anbeißen, zuschnappen, schnappen","Wie jeder Kinobesucher aus „Jurassic Park“ weiß, konnte das Monster herzhaft zubeißen und die Knochen seines Opfers mühelos zermalmen."
aufwarten,7623,C1-C2,Verb,"etwas für jemanden bereitstellen, jemandem etwas bieten",,jemandem seine Aufwartung machen,Er wartete ihr mit Blumen und Pralinen auf.
gondeln,7624,C1-C2,Verb,"sich langsam irgendwohin bewegen, oft ohne feste Pläne",,,Wir gondelten ein paar Stunden auf dem Meer und verbrachten die Zeit mit Baden und Sonnenbaden.
welken,7625,C1-C2,Verb,"nicht mehr blühen, vertrocknen, welk werden",,,"Der Blumenstrauß war sehr schön, aber nun fängt er schon an zu welken."
anschwärzen,7626,C1-C2,Verb,schwärzen,,"petzen, in Misskredit bringen, verleumden, verpfeifen, denunzieren",Er hat das Glas über einer brennenden Kerze angeschwärzt.
sonder,7627,C1-C2,Prep,drückt Abwesenheit aus; ohne,,ohne,"(1857:) „Das Männchen ging voraus, der Bursche aber nahm seine Laterne und folgte ihm sonder Zagen.“"
abertausende,7628,C1-C2,Substantiv,"mehrere tausend, viele Tausende",,,Abertausende sind auf der Flucht.
umbenannt,7629,C1-C2,Adjektiv,eine andere Bezeichnung bekommen habend,,,"„Als Siegerpokal wird die Vince Lombardi Trophy (ursprünglicher Name World Championship Game Trophy), ein 1971 zu Ehren des erfolgreichsten NFL-Tainers der 1960er Jahre umbenannter Silberpokal, vergeben.“"
dun,7630,C1-C2,Adjektiv,im Zustand nach Genuss von zu viel Alkohol,,"blau, besoffen, betrunken","Er hat zwei völlig dunen Männern geholfen, nach Hause zu finden."
abklemmen,7631,C1-C2,Verb,"etwas absichtlich mit Hilfe eines Instruments zusammendrücken, zum Beispiel um den Durchfluss einer Flüssigkeit zu unterbinden",,,"Bei der Operation wird das verengte Gefäß abgeklemmt, um es dann wieder eröffnen zu können."
beizeiten,7632,C1-C2,Adverb,zur rechten Zeit; bevor es für ein bestimmtes Vorhaben zu spät ist,,"frühzeitig, zeitig, zeitgerecht, rechtzeitig","Wir sollten uns beizeiten auf den Weg machen, um nicht in das angekündigte Gewitter zu geraten."
einheimsen,7633,C1-C2,Verb,bekommen oder einsammeln; nach Hause  bringen,,,Dieses Jahr konnte die Sängerin bereits mehrere Preise einheimsen.
trollen,7634,C1-C2,Verb,"sich  von einem Ort entfernen, weggehen, sich wegbegeben",,,"Nachdem Julia Gunther aufs Schärfste wegen seiner Nachlässigkeit zurechtgewiesen hatte, trollte er sich betrübt."
europäisch,7635,C1-C2,Adjektiv,"zu Europa gehörig, Europa betreffend",,,Der Europäische Gerichtshof spricht Recht für ganz Europa.
einklinken,7636,C1-C2,Verb,"etwas in etwas einhaken, zwei Teile verbinden; eine Tür hörbar schließen",,,Er klinkt seinen Haltegurt in die Sicherheitsleine ein.
tupfen,7637,C1-C2,Verb,etwas leicht berühren,,"sprenkeln, punktieren",Er tupfte seiner Frau auf die Schulter.
entwenden,7638,C1-C2,Verb,sich etwas unrechtmäßig aneignen,,"wegnehmen, mopsen, rauben, stehlen, unterschlagen","„Ich fing an zu reisen, liebte geistige Getränke, lebte ungesittet, unordentlich, entwendete meinen Nebenmenschen das Ihrige, las gerne Romane, traktierte, und wurde aufs neue Mörderin!“"
zücken,7639,C1-C2,Verb,"eine Waffe schnell aus der Tasche, dem Holster oder zum Beispiel auch der Scheide hervorziehen",,"hervorziehen, herausziehen, hervorholen","Als sie ihn des Hauses verweisen wollte, zückte er eine Pistole und bedrohte sie."
verklebt,7640,C1-C2,Adjektiv,von einer klebrigen Substanz bedeckt,,,
streitlustig,7641,C1-C2,Adjektiv,"bereit, sich zu streiten, Streitlust verspürend",,,„Also fühlte ich mich nach meinem Besuch bei Monroe geil und streitlustig ...“
bespringen,7642,C1-C2,Verb,"sich nach dem Sprung am Rücken des  Tieres festhalten, um den Akt der Begattung durchzuführen",,,Der Hengst bespringt die Stute.
verbocken,7643,C1-C2,Verb,"durch mangelnde Achtsamkeit/Vorbereitung/Konzentration/Eignung einen Misserfolg verantworten/erleiden, etwas falsch machen, Unruhe und Unordnung stiften",,,Ich kann das nicht! Ich werde das ganz bestimmt verbocken! Und dann bin wieder ich schuld an allem!
ausbessern,7644,C1-C2,Verb,"eine beschädigte Stelle beseitigen, meist wenn der Schaden nicht sehr groß ist und die Funktion nicht vollkommen verloren ist",,,"Im Frühling werden wir das Dach des Schuppens ausbessern müssen, sonst sickert Regenwasser ein."
zurückwerfen,7645,C1-C2,Verb,"wieder dorthin werfen, woher es gekommen ist/von wo es einem zugeworfen wurde",,,"Du fängst den Ball, und dann wirfst du ihn wieder zu mir zurück."
scheuchen,7646,C1-C2,Verb,mit Lauten und Gesten in eine Richtung treiben,,,Mit wedelnden Armen scheuchen wir die Hühner in ihren Stall.
zerteilen,7647,C1-C2,Verb,in Stücke zerlegen,,,"In der Zwischenzeit Salat waschen und zerteilen, mit Öl, Salz, Pfeffer und Zitronensaft anmachen."
schwächlich,7648,C1-C2,Adjektiv,physisch und/oder gesundheitlich schwach,,,"„Der jüngere Bruder, Alexander, war wortkarg und schwächlich, man mußte ihn zu allem ermutigen, seine Noten waren mittelmäßig.“"
verdünnt,7649,C1-C2,Adjektiv,nicht mehr hochkonzentriert seiend; durch zumischen von Wasser nur noch eine schwache Konzentration  aufweisend,,,"„Als Durstlöscher empfehlen sich Mineralwässer, ungesüßte Kräuter- und Früchtetees sowie im Verhältnis 1:1 mit Wasser verdünnte Obst- oder Gemüsesäfte.“"
stockbesoffen,7650,C1-C2,Adjektiv,extrem betrunken,,"granatenvoll, sternhagelvoll, sturzbetrunken, hackedicht, volltrunken",„Abends fand ihn jemand stockbesoffen auf der Straße liegend.“
ausfechten,7651,C1-C2,Verb,"zu einer Einigung kommen, oft mit hohem Engagement und Einsatz einen Streit austragen",,,"„Voller Hingabe, mit Temperament, mit Vehemenz und mit ganzem Herzen: Fassbinder, Bitburg, Walser – das sind nur Beispiele für unvergessene Auseinandersetzungen, die er leidenschaftlich ausgefochten hat.“"
erfrischen,7652,C1-C2,Verb,"neue Stärke geben,  Frische verleihen",,"laben, erlaben, beleben, stärken, erquicken","„Unsere Vorfahren fanden Wurzeln, die nach längerem Kauen nicht nur gut schmeckten, die Zähne reinigten und gleichzeitig den Atem erfrischten.“"
koffeinfrei,7653,C1-C2,Adjektiv,kein Koffein enthaltend,,,"Als sie von dem koffeinfreien Kaffee kostete, verzog sie angewidert das Gesicht."
bettelarm,7654,C1-C2,Adjektiv,"sehr arm, mittellos",,"elend, bitterarm",Der Mann auf der Straße ist durch ein Unfall bettelarm geworden.
ausreisen,7655,C1-C2,Verb,sich  aus einem Staat in einen anderen bewegen,,,„Nach wenigen Wochen wurden Mutter und Tochter aus der Haft entlassen und sie konnten nach Liechtenstein ausreisen.“
blutverschmiert,7656,C1-C2,Adjektiv,mit Blut verschmiert,,,"„Franklin sieht angewidert zu, wie sie in Babysprache auf das Tier einredet, ihm Küsse zuwirft und, als sie es anlächelt, ihre blutverschmierten Zähne entblößt.“"
abgöttisch,7657,C1-C2,Adjektiv,wie einen Abgott,,,Er hat sie abgöttisch geliebt.
flocken,7658,C1-C2,Verb,Flocken bilden; flockig werden,,ausflocken,"Bereits vor dem Stadium des stechenden Geruchs und des sauren Geschmacks, beginnt abgelaufene Milch zu flocken."
herunterladen,7659,C1-C2,Verb,Inhalte von einem Server im Netzwerk  auf den lokalen Computer übertragen,,"ziehen, saugen, downloaden",Ich habe mir ein tolles kostenloses Programm heruntergeladen.
konservieren,7660,C1-C2,Verb,insbesondere Lebensmittel mit chemischen oder technischen Mitteln haltbar machen,,,Obst zu konservieren ist gut für die Haltbarkeit.
türkis,7661,C1-C2,Adjektiv,in einer Farbe zwischen blau und grün,,"petrolfarbig, petrolfarben, türkisfarben, cyan, blaugrün","„Ihr BH ist türkis, vorne Spitze am Körbchen.“"
bitterkalt,7662,C1-C2,Adjektiv,außerordentlich kalt,,eiskalt,Im Winter kann es in Deutschland bitterkalt werden.
beschwerlich,7663,C1-C2,Adjektiv,so dass es Beschwerden bereitet,,,Die Siedler hatten eine beschwerliche Reise quer durch den Kontinent vor sich.
einstweilen,7664,C1-C2,Adverb,"fürs Erste, bis auf Weiteres",,"vorläufig, vorübergehend, einstweilig","„In der ersten Hälfte des Jahres 2008 gab es einen […] steilen Anstieg der Energiepreise, die mit der einsetzenden Wirtschaftskrise einstweilen wieder stark gesunken sind.“"
blutsverwandt,7665,C1-C2,Adjektiv,"mit jemandem gemeinsame Vorfahren habend, dieselbe Abstammung teilend",,,"„Natürlich ist ›blutsverwandt‹ ein umstrittener Begriff, und etwa zehn Paragraphen in Ihren Verordnungen legen dar, was als blutsverwandt gilt und was nicht.“"
verkracht,7666,C1-C2,Adjektiv,"im Beruf, im Studium, allgemein im Leben gescheitert, erfolglos",,gescheitert,"„Der Chauffeur, ein verkrachter Student der Chemie, an die seltsamsten Fahrgäste gewöhnt, dachte bei sich: So ein oller Klappergreis – fährt noch auf Abenteuer.“"
zwischenzeitlich,7667,C1-C2,Adjektiv,"für einen gewissen, begrenzten Zeitraum in der Vergangenheit [bestehend, stattfindend]",,"Zwischenzeit, inzwischen, unterdessen, mittlerweile, vorübergehend","„Streitfragen, die zwischenzeitlich befriedet schienen, brechen erneut auf.“"
unabdingbar,7668,C1-C2,Adjektiv,"unbedingt erforderlich, durch andere Vereinbarungen nicht abänderbar",,"notwendig, nötig, unvermeidlich, vonnöten, wichtig","Den Ausweis an der Grenze vorzuzeigen, ist für Reisende unabdingbar."
prostituieren,7669,C1-C2,Verb,"etwas Anrüchiges, Unpassendes, Verwerfliches begehen oder jemandem vorwerfen",,"anschaffen, bloßstellen","„»Sie haben also keinen Liebhaber?« »Wie? Einen Liebhaber? Welcher Mann hätte wohl den Mut, in einem derartigen Hause mein Liebhaber sein zu wollen? Und bin ich etwa dazu da, um schnöden Vorteils willen mich dem ersten besten für dreißig Soldi preiszugeben? Höher aber kann mich in Venedig niemand einschätzen, wenn er mich in diesem Hause sieht. Übrigens fühle ich keinen Beruf, mich zu prostituieren!«“"
sternhagelvoll,7670,C1-C2,Adjektiv,außerordentlich betrunken,,"granatenvoll, stockbesoffen, sturzbetrunken, hackedicht, sturzbesoffen","Sie war enttäuscht, dass ihr Freund sternhagelvoll von der Party zurückkam."
gedrungen,7671,C1-C2,Adjektiv,klein und dabei verhältnismäßig breit,,,Aus der Vogelperspektive konnte man die gedrungenen Gebäude der Stadt sehen.
wildern,7672,C1-C2,Verb,ohne Erlaubnis jagen,,wilddieben,Giacomo hat letzte Woche wieder im Revier des Herrn Müller gewildert und wurde prompt ertappt.
dazukommen,7673,C1-C2,Verb,zu einem Geschehen oder zu einer Sache  kommen,,"dazugesellen, ankommen, dazustoßen, erscheinen, eintreffen","Er war zufällig dazugekommen, als gerade ein betrügerisches Telefonat mit seiner Mutter (89) lief."
lauthals,7674,C1-C2,Adverb,"mit lauter Stimme, aus voller Kehle",,lauthalsig,"Als Fiete das Malheur sah, fing er lauthals an zu lachen."
krankenhausreif,7675,C1-C2,Adjektiv,"so, dass eine Behandlung im Krankenhaus nötig wird",,"spitalreif, spitalsreif",Das Opfer wurde krankenhausreif geprügelt.
involvieren,7676,C1-C2,Verb,beinhalten,,,Der Arbeitsvertrag involviert einen Lohn von 2000 Euro.
manifestieren,7677,C1-C2,Verb,"eine Demonstration veranstalten, demonstrieren",,offenbaren,In diesem Werk des Dichters manifestiert sich sein Unvermögen.
tröten,7678,C1-C2,Verb,laut und oft störend ein Blasinstrument spielen,,blasen,Das Kind trötete auf einer Trompete.
mitfeiern,7679,C1-C2,Verb,mit anderen Personen zusammen ein Fest begehen,,,"„Auch Jean-Baptiste Tavernier ist anwesend, Aurangzeb bat den französischen Kaufmann mitzufeiern.“"
gutgläubig,7680,C1-C2,Adjektiv,"mit einer positiven, vertrauensvollen Einstellung gegenüber anderen Menschen, manchmal sogar mit der Tendenz, naiv oder leichtgläubig zu sein",,"naiv, einfältig, vertrauensvoll, leichtgläubig, blauäugig",Sie ist sehr gutgläubig.
instand,7681,C1-C2,Adverb,funktionierend und in gutem Zustand,,,"Damit das Mauerwerk instand bleibt, muss es regelmäßig überprüft und ausgebessert werden."
pikant,7682,C1-C2,Adjektiv,"gut oder kräftig gewürzt, scharf",,"delikat, würzig",Rinder-Curry ist eine pikante Speise aus Fernost.
konventionell,7683,C1-C2,Adjektiv,gemäß geltenden Konventionen,,"gewohnt, herkömmlich, traditionell, altbekannt, üblich",Die Veranstaltung soll auf ganz konventionelle Weise durchgeführt werden.
ausgeklügelt,7684,C1-C2,Adjektiv,gut durchdacht,,,"„Wissenschaftler, Start-ups und etablierte Konzerne experimentieren seit Längerem mit ausgeklügelten Technologien, um die globale Erwärmung zu verlangsamen […]“"
schleimen,7685,C1-C2,Verb,ein zähflüssiges Sekret absondern,,,Die Augen der Kuh tränen und das geschwollene Maul schleimt stark.
experimentell,7686,C1-C2,Adjektiv,auf  Versuchen basierend; mithilfe von  Versuchen,,experimental,"„Auch die experimentelle Wirtschaftsforschung rüttelt an den Grundfesten der wirtschaftswissenschaftlichen Modelle, und die Neuroökonomen wollen den Menschen ebenfalls abbilden, wie er wirklich ist - nicht, wie er den Annahmen gemäß sein müsste.“"
dato,7687,C1-C2,Adverb,am heutigen Tag,,heute,Der Vertrag ist ab dato gültig.
beflecken,7688,C1-C2,Verb,"einzelne Stellen von etwas beschmutzen, fleckig machen",,"entehren, besudeln, beschmutzen","„[…] ich muss Bücher fühlen, ich muss sie riechen, sie mit Kaffee beflecken, dann wird das Buch zu meinem Freund.“"
ernstlich,7689,C1-C2,Adjektiv,"mit schwerwiegenden, weitreichenden Folgen",,"folgenschwer, bedrohlich, schwerwiegend, bedenklich, schlimm","„Wir hatten verabredet, daß ich gleich nach Tisch, um drei zu ihm kommen sollte. Es war ein heller Tag im Oktober und Erhard nahm an, daß das Tageslicht bis gegen halb fünf Uhr vorhalten werde. Ich kam unpünktlich, wie immer, etwas nach halb vier. Erhard nahm mir das ernstlich übel […]“"
