Wort,Rank,Sprachniveau_Est,Wortart,Erklärung,DWDS_Erklärung,Synonyme,Beispielsatz
bitte,66,A1-B1,Particle,höflich um etwas ersuchen; um etwas bitten,,,Gibst du mir das Buch bitte wieder.
immer,67,A1-B1,Adverb,zu jeder Zeit,"zu jeder Zeit, stets | jederzeit, ständig | jedes Mal","jederzeit, fortwährend, allerwegens, stets, immerwährend",Er blieb ihr immer treu.
warum,68,A1-B1,Adverb,"leitet einen Nebensatz  ein, der die Folge aus der Aussage des Hauptsatzes angibt","aus welchem Grund, weshalb","weshalb, weswegen, wieso, wozu","Er wusste nicht, warum sie ihn schlug."
vor,69,A1-B1,Prep,"früher, eher","auf, an der Vorderseite, der dem Beobachter zugewandten Seite von | auf, an die Vorderseite, die dem Beobachter zugewandte Seite von | etw. noch tun müssen, noch nicht beendet haben",,Das Altertum kam vor dem Mittelalter.
los,70,A1-B1,Adjektiv,"los sein im Sinne von: befreit, frei von etwas sein","es ist, geschieht etw. Besonderes, Außergewöhnliches | nicht mehr festgehalten, ab | von etw. Lästigem, einer unerwünschten Person befreit sein","frei, befreit",Meine ewigen Schmerzen bin ich endlich los.
können,71,A1-B1,Verb,etwas zu tun vermögen,"die geistige, körperliche Fähigkeit zu etw. haben, etw. verstehen, beherrschen | etw. Gelerntes wiederzugeben vermögen | jmdm. ist es möglich, etw. zu tun","dürfen, vermögen, sollen, schaffen, meistern","Wenn die Schüler wollen, können sie die Übungen schaffen."
wieder,72,A1-B1,Adverb,ein oder mehrere weitere Male,"abermals, noch einmal, ein zweites Mal | auch dieses Mal (wie schon öfter) | immer noch einmal","abermals, erneut, mehrmals",Wieder stehst du in der Tür.
sagen,73,A1-B1,Verb,bestimmte Worte sprechen,"(jmdm. gegenüber) etw. mündlich äußern, aussprechen | (jmdm.) etw. berichten, mitteilen, über etw. Auskunft geben | etw. behaupten, meinen",,Er sagte: „Pass auf!“
machen,74,A1-B1,Verb,in einen bestimmten Zustand versetzen,etw. (aus etw.) herstellen | etw. zubereiten | etw. anfertigen,"antreiben, sorgen für, fabrizieren, auswandern, verfertigen",Das macht mich wütend.
danke,75,A1-B1,Particle,"Wort, das man benutzt, um seinen Dank auszudrücken",,,Danke für das Wiktionary!
sehr,76,A1-B1,Particle,"in hohem Maße, besonders","in hohem Maße, besonders, überaus | stark, heftig","recht, viel, tüchtig, ausgesprochen, mordsmäßig",Das ist sehr nett.
alle,77,A1-B1,Adverb,"mitteldeutsch und norddeutsch, umgangssprachlich:' leer, nicht mehr vorrätig",aufgebraucht,"verbraucht, aus, ausgegangen, gar, aufgebraucht","Das Bier ist alle, wir sollten neues kaufen."
denn,78,A1-B1,Conj,"leitet einen Hauptsatz ein, der den Grund für das, was vorher festgestellt wurde, liefert","als | ausgenommen | ausgenommen, wenn","nämlich, da, weil","Max geht es schlecht, denn er hat einen ganzen Kuchen gegessen."
tun,79,A1-B1,Verb,eine Handlung ausführen,"eine bestimmte Arbeit leisten | eine bestimmte Tätigkeit ausüben, etw. unternehmen, anstellen | sich für jmdn., etw. verwenden, einsetzen","funktionieren, bringen, ausreichen, vorgehen, platzieren",Was tust du?
ihm,80,A1-B1,Pron,Personalpronomen 3. Person Maskulinum Singular Dativ,,,"Sie gab ihm einen Kuss, weil sie ihn liebte."
gehen,81,A1-B1,Verb,"sich schreitend, schrittweise fortbewegen","sich zu Fuß fortbewegen | sich irgendwohin begeben | etw. gelangt irgendwohin, wird irgendwohin gegeben","funktionieren, ablegen, aufgeben, sich erstrecken, kündigen","„Ich bin der Meinung, dass alles besser gehen würde, wenn man mehr ginge …“ (Johann Gottfried Seume)"
sehen,82,A1-B1,Verb,aktiv und passiv wahrnehmen über das Sinnesorgan Auge,"einen optischen Eindruck mit dem Gesichtssinn, den Augen wahrnehmen, erfassen | etw., jmdn. erblicken, bemerken, als vorhanden feststellen | etw. zur Kenntnis nehmen",,"Seit ich die neue Brille habe, sehe ich viel besser."
vielleicht,83,A1-B1,Adverb,"unter Umständen, möglicherweise","möglicherweise, unter Umständen | etwa, ungefähr | wenn es dir, Ihnen recht ist, nichts ausmacht","womöglich, schätzungsweise, eventuell, möglicherweise, zirka",Vielleicht scheint morgen die Sonne.
wer,84,A1-B1,Pron,fragt nach einer Person oder mehreren Personen,"derjenige, der, diejenige, die | jemand",,Wer hat an der Uhr gedreht?
euch,85,A1-B1,Pron,Personalpronomen 2. Person Plural Dativ,,,"""Euch kann man nicht trauen!"""
über,86,A1-B1,Prep,oberhalb liegend,"oberhalb | auf | auf der anderen Seite, gegenüber","ober, oberhalb, von, durch",Der erste Stock liegt über dem Erdgeschoss.
okay,87,A1-B1,Adjektiv,"in Ordnung; ohne, dass etwas zu beklagen wäre","einem bestimmten (als geltend vorausgesetzten) Niveau entsprechend | annehmbar, für angemessen befunden, vertretbar | ;",,"Ich erreichte bei dem Rennen zwar nur den vierten Platz, aber das ist okay."
wissen,88,A1-B1,Verb,"von etwas oder jemandem Kenntnis haben durch Mitteilung oder Erfahrung; sich über etwas sicher, bewusst sein","etw. infolge eigener Erfahrung, Wahrnehmung, durch Lernen, Studium, durch Mitteilung von anderen im Gedächtnis, Bewusstsein haben und wiedergeben können, von etw. Kenntnis haben, über etw. unterrichtet sein | Kenntnis davon haben, dass etw., jmd., man selbst in einer bestimmten Lage, einem bestimmten Zustand ist | etw. kennen",,"Ich weiß nicht, ob ich morgen Zeit habe."
müssen,89,A1-B1,Verb,"unausweichlich gezwungen sein, etwas zu tun oder zu erleiden",Anlass zu etw. haben,"notwendig, verpflichtet, nötig",Jeder Mensch muss sterben.
nie,90,A1-B1,Adverb,"zu keiner Zeit, zu keinem Zeitpunkt","zu keiner Zeit, zu keinem Zeitpunkt | überhaupt nicht | jedes Mal nicht","nimmer, nie und nimmer, niemals",Ich werde nie mit dir ins Kino gehen.
wirklich,91,A1-B1,Adjektiv,tatsächlich existierend und nicht nur in der Einbildung vorhanden seiend,"den Tatsachen, der Wirklichkeit entsprechend, tatsächlich, real | im eigentlichen, erklärten Sinne der Sache, dem Wesen der Sache entsprechend | wahrhaftig, in der Tat","wahrhaftig, echt, real, tatsächlich, richtig",Peter hatte sich die Geschichte nicht ausgedacht. Sie war wirklich passiert.
hey,92,A1-B1,Phrase,als Grußwort,,"he, hei, hallo, hi","Hey, was ist los?"
kein,93,A1-B1,Pron,"null, nichts, Null","nicht ein | nichts an | niemand, nicht einer",null,Wir haben keine Äpfel mehr.
viel,94,A1-B1,Adverb,"eine unbestimmte, große Menge von etwas; reichlich","in großer Zahl (vorhanden), zahlreich | eine große Zahl | in großer Menge, hohem Grade (vorhanden), reichlich, groß","zahlreich, häufig, in Hülle und Fülle, oft, reichlich",Sie kaufte viel Obst.
weg,95,A1-B1,Adverb,von hier aus an einen anderen Ort,"von dieser Stelle nach einer anderen | nicht mehr an dieser Stelle sein, von dieser Stelle entfernt sein | etw., jmd. ist verloren, verschwunden, nicht zu finden","verlegt, abwesend, unauffindbar, anderswohin, fort",Ich muss weg!
einfach,96,A1-B1,Adjektiv,nicht schwierig,"schlicht | bescheiden, ohne Aufwand, Luxus | eindeutig, unmissverständlich","anspruchslos, einmal, trivial, schlicht, bescheiden",Die Klassenarbeit in Französisch war sehr einfach.
leben,97,A1-B1,Verb,Stoffwechsel betreiben und wachsen; auf der Welt sein,"sein Leben in einer bestimmten Art führen, verbringen | mit jmdm. enge Gemeinschaft haben | am Leben, lebendig sein",,Wir hatten Glück – es lebt.
zeit,98,A1-B1,Prep,"mein ganzes Leben lang, solange ich lebe",,,So etwas habe ich ja zeit meines Lebens noch nicht gesehen!
weil,99,A1-B1,Conj,"Subjunktion, die einen kausalen Nebensatz einleitet, auf dem besonderer Nachdruck liegt; im Hauptsatz stehen oft Wörter wie darum, deshalb oder deswegen, die auf den Nebensatz hinweisen sollen, weil kann dann nicht durch da ersetzt werden",,"indessen, wohingegen, sintemal, solange, alldieweil","Helga hat deswegen so laut geschrien, weil sie im Hausflur unvermittelt einem Maskierten gegenübergestanden hat."
kommen,100,A1-B1,Verb,"einen Ort erreichen, sich von einem Ort hierher begeben",sich auf eine bestimmte Art nähern | an einen Ort gelangen | eine (neue) Tätigkeit aufnehmen,"hingehen, eintreffen, einfinden, annähern",Er kommt hierher.
dein,101,A1-B1,Pron,"Form des Possessivpronomens „dein, deine, dein“: Zeigt den Besitz, das Eigentum oder die Zugehörigkeit einer Person bzw. Sache zu einer dem Sprecher direkt gegenüberstehenden Person, Sache an",,"dir, von",Ich habe mir gestern dein Auto ausgeliehen.
heute,102,A1-B1,Adverb,an diesem Tage,"am gegenwärtigen Tage | in jetziger Zeit, gegenwärtig, heutzutage","aktuell, gegenwärtig, heutzutage",Heute gab es mal wieder ganz schönes Wetter.
wollen,103,A1-B1,Verb,"entschieden haben und deswegen vorhaben beziehungsweise den Vorsatz haben, etwas zu tun, um etwas zu erlangen oder zu erreichen","aus Wolle | jmd. erstrebt etw. | jmds. Wille, Wunsch, Absicht ist darauf gerichtet, dass er oder ein anderer etw. tut","anzielen, beabsichtigen, behaupten, mögen, wünschen",verkürzt: Ich will morgen zum Friseur. (Ich will morgen zum Friseur [gehen]/[fahren].)
damit,104,A1-B1,Conj,"… mit dem Ziel, dass …","mittels des eben Erwähnten, mit Hilfe dieser Tätigkeit, dieses Zustandes | mit dem eben Erwähnten versehen | in Form des eben Erwähnten",auf dass,"Es wurden Vorräte angelegt, damit es in Notzeiten nicht mangelt."
ganz,105,A1-B1,Adjektiv,"nicht zerbrochen, unversehrt","alles | alle | heil, unversehrt","unbeschädigt, intakt, unzerstört, allumfassend, schlicht","Obwohl die Vase auf den Boden gefallen ist, ist sie noch ganz."
sicher,106,A1-B1,Adjektiv,vor Gefahren geschützt,"nicht von Gefahr bedroht, ungefährdet | zuverlässig, verlässlich | fest, stabil","geborgen, geschützt, selbstbewusst, gewiss, ungefährdet",„Drachenfliegen ist heute mindestens ebenso sicher wie Segelfliegen – dank enormer technischer Entwicklungen.“
frau,107,A1-B1,Pron,"irgendeine, eine Frau: vergleiche man",,,"Wenn frau sich kennt, braucht sie nicht vor sich wegzulaufen."
nun,108,A1-B1,Adverb,"zu diesem Zeitpunkt, zum jetzigen Zeitpunkt, in dem Moment","jetzt | jetzt, unter diesen Umständen | als","unmittelbar, eben, gleich, gerade, gegenwärtig",„Was haben wir nun?“
